"Country or Area","Variant","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Afghanistan","Medium","0.824","0.648","0.019","-1.141","-0.869","-0.911","-0.917","-1.078","-2.503","-0.393","0.302","0.695","0.782","0.73","0.757","1.119","0.364","0.682","0.325","0.193","0.415","-1.161","-0.359","-0.262","-1.684","-3.646","-6.851","-6.528","-9.014","-36.374","-92.075","-174.057","-56.527","-19.191","31.934","-19.828","-40.044","-38.247","-8.612","0.251","-60.375","3.721","164.629","87.304","43.986","4.383","1.59","0.345","1.934","4.461","-50.229","-9.717","65.242","17.307","-10.498","10.383","2.466","-35.743","8.401","-2.147","-5.001","14.42","3.481","1.525","7.842","-8.31","-2.602"
"Africa","Medium","-0.124","-0.242","-0.424","-0.865","-0.819","-0.91","-1.059","-1.222","-1.84","-0.987","-0.76","-0.826","-0.778","-0.876","-0.668","-0.724","-0.499","-0.3","-0.298","-0.447","-0.395","-1.041","-1.016","-0.52","-0.084","0.599","0.172","-1.135","0.944","0.068","-0.918","0.473","0.366","-1.016","-0.32","-0.161","-0.028","-0.129","-0.666","-0.436","-0.882","-1.215","-1.288","-0.975","-1.076","-0.55","-0.971","-1.08","-0.726","-0.841","-0.819","-0.631","-0.6","-0.603","-0.477","-0.725","-0.688","-0.601","-0.769","-0.851","-0.729","-1.542","-0.758","-0.353","-0.512","-0.159","-0.93"
"Albania","Medium","13.495","12.682","12.161","11.736","11.506","11.293","10.782","10.351","9.904","9.537","9.128","8.761","8.402","7.983","7.529","7.099","6.664","6.194","5.713","5.321","4.788","4.197","3.59","2.919","2.259","1.481","0.607","-0.246","-1.173","-2.126","-3.101","-4.146","-5.151","-6.209","-7.398","-8.624","-9.974","-11.422","-12.91","-14.538","-15.877","-17","-17.894","-18.592","-19.155","-19.632","-19.92","-20.082","-20.104","-19.998","-19.799","-19.494","-18.993","-18.362","-17.605","-16.634","-15.588","-14.354","-13.039","-11.574","-10.017","-8.398","-6.872","-5.817","-4.934","-4.238","-3.772"
"Algeria","Medium","-0.133","-0.711","-1.26","-1.779","-2.274","-2.748","-3.203","-3.637","-4.052","-4.45","-4.832","-9.561","-8.379","-9.172","-7.694","-9.877","-2.461","-1.944","-1.895","-2.208","-2.682","-2.486","-2.273","-2.024","-1.821","21.759","20.833","0.312","1.096","1.338","1.564","1.803","2.082","2.379","2.658","2.938","2.621","-0.787","-0.776","-0.799","-0.848","-0.901","-0.941","-0.958","-1.142","-1.004","-0.34","0.478","-0.915","-0.398","-0.617","-0.826","-1.146","-1.226","-1.187","-3.369","-0.979","-1.09","-0.981","-0.961","-0.922","-0.952","-0.942","-0.931","-0.93","-0.919","-0.898"
"American Samoa","Medium","-2.465","-27.605","-29.303","-29.836","-30.69","-30.674","-30.019","-35.214","-36.835","-37.145","-12.857","-4.497","-4.547","-4.361","-4.269","-3.838","-1.739","-4.976","-2.69","-2.911","-11.307","-14.352","-14.325","-14.44","-12.876","-8.382","-8.802","-9.108","-9.308","-9.53","3.501","8.606","9.001","9.38","9.132","8.888","8.648","8.296","8.001","7.412","-5.232","-10.248","-10.244","-10.14","-9.059","-7.817","-7.042","-7.264","-7.938","-7.816","-19.689","-25.441","-26.832","-28.006","-29.06","-29.178","-28.782","-28.282","-27.979","-27.21","-26.547","-27.41","-28.246","-29.292","-30.225","-31.227","-32.018"
"Andorra","Medium","12.754","-81.191","-54.569","-6.404","96.596","92.294","88.082","84.23","78.7","74.585","70.476","66.119","62.221","58.278","54.42","50.585","60.623","69.715","65.692","62.179","58.703","56.112","53.083","50.808","48.202","45.736","45.233","42.764","40.065","36.105","27.25","25.43","36.435","34.864","33.488","28.195","37.412","36.562","34.035","31.776","30.094","27.417","25.556","26.203","24.446","25.557","2.841","2.166","2.811","0.594","2.211","40.449","38.701","37.536","36.312","31.372","-29.681","-30.817","-33.396","-35.613","-39.225","0.382","0.465","0.168","-1.172","-3.227","18.108"
"Angola","Medium","0.536","0.447","0.137","-1.322","-3.035","-4.776","-6.141","-6.997","-7.889","-7.489","-8.132","-8.997","-9.833","-10.617","-12.6","-15.099","-17.971","-19.334","-18.774","-13.693","-6.027","0.521","5.515","6.125","5.77","5.52","4.861","5.998","5.805","5.881","6.39","6.057","6.257","6.595","6.02","5.525","4.633","4.328","4.331","4.095","4.037","2.777","3.107","2.986","3.368","2.94","3.158","3.365","3.38","3.261","3.27","3.367","3.459","3.284","3.552","3.295","3.485","3.542","3.407","3.438","3.859","3.911","3.82","3.506","3.12","2.64","3.147"
"Anguilla","Medium","5.012","0","-7.751","-14.134","-17.467","-28.775","-31.811","-33.267","-34.328","-34.813","-20.788","-18.775","-19.27","-19.751","-20.39","-19.719","-19.222","-18.254","-17.463","-16.532","-15.934","-15.354","-14.946","-15.019","-14.336","-13.818","-14.971","-15.215","-15.917","-16.631","-16.304","-15.081","-14.009","-12.939","12.472","23.587","25.035","26.62","28.173","25.942","27.606","26.486","18.292","15.241","16.163","16.383","17.402","18.044","19.017","20.478","23.291","11.274","8.265","9.162","9.355","9.205","7.989","8.02","8.206","8.771","9.388","0","1.637","20.354","28.903","18.97","10.995"
"Antigua and Barbuda","Medium","-2.812","-3.399","-3.856","-4.418","-4.796","-5.178","-5.487","-5.686","-5.821","-6.039","-6.5","-12.102","-12.443","-12.637","-9.262","-9.231","-8.445","-7.086","-5.416","-3.825","-13.291","-18.404","-21.743","-21.941","-20.577","-18.612","-16.468","-14.623","-13.742","-13.031","-12.688","-12.388","-12.083","-11.533","-18.313","-19.806","-18.735","-18.945","-18.942","-18.38","-17.915","3.514","6.281","7.381","7.679","7.749","6.871","6.947","6.431","5.297","3.614","1.945","0.661","0.525","1.28","2.532","3.889","4.546","4.44","4.007","3.451","2.852","2.319","1.765","1.211","0.667","0.177"
"Argentina","Medium","3.561","3.143","2.721","2.316","1.945","1.626","1.374","1.205","1.12","1.056","1.003","1.419","1.399","1.435","1.49","1.542","1.587","1.659","1.731","1.724","1.61","1.489","1.488","1.568","1.716","-0.207","-0.392","-0.55","-0.54","-0.371","-0.124","0.364","0.668","0.99","1.033","1.056","1.057","1.037","0.955","0.636","0.184","-0.259","-0.393","-0.481","-0.543","-0.565","-0.576","-0.575","-0.561","-0.551","-0.614","-0.608","-0.598","-0.584","-0.577","-0.562","-0.505","-0.453","-0.309","-0.193","-0.121","-0.024","0.075","0.127","0.135","0.128","0.119"
