Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.273,0.279,0.287,0.297,0.292,0.310,0.319,0.323,0.324,0.332,0.335,0.337,0.362,0.376,0.392,0.400,0.409,0.424,0.430,0.440,0.448,0.456,0.466,0.474,0.479,0.478,0.481
"Albania","Europe","ALB","National","ALBt","Total",0.647,0.629,0.614,0.617,0.624,0.634,0.645,0.642,0.657,0.669,0.677,0.684,0.689,0.696,0.700,0.711,0.718,0.730,0.736,0.741,0.754,0.766,0.778,0.785,0.792,0.795,0.798
"Algeria","Africa","DZA","National","DZAt","Total",0.591,0.594,0.599,0.601,0.602,0.606,0.617,0.624,0.633,0.641,0.649,0.655,0.664,0.670,0.678,0.685,0.690,0.697,0.705,0.714,0.721,0.727,0.729,0.731,0.735,0.740,0.743
"Andorra","Europe","AND","National","ANDt","Total",,,,,,,,,,,0.818,0.825,0.832,0.841,0.833,0.833,0.848,0.847,0.850,0.848,0.848,0.849,0.869,0.864,0.871,0.867,0.871
"Angola","Africa","AGO","National","AGOt","Total",,,,,,,,,,0.364,0.375,0.386,0.403,0.420,0.433,0.447,0.459,0.475,0.486,0.500,0.510,0.526,0.541,0.552,0.563,0.582,0.596
"Antigua and Barbuda","America","ATG","National","ATGt","Total",,,,,,,,,,,,,,,,,,0.802,0.801,0.795,0.790,0.783,0.787,0.787,0.789,0.791,0.794
"Argentina","America","ARG","National","ARGt","Total",0.723,0.730,0.735,0.739,0.744,0.745,0.751,0.756,0.762,0.773,0.779,0.784,0.785,0.793,0.798,0.802,0.814,0.817,0.825,0.827,0.834,0.841,0.843,0.845,0.846,0.848,0.847
"Armenia","Europe","ARM","National","ARMt","Total",0.656,0.649,0.618,0.616,0.620,0.627,0.632,0.641,0.654,0.657,0.662,0.666,0.676,0.686,0.694,0.707,0.721,0.738,0.742,0.741,0.746,0.750,0.755,0.760,0.764,0.766,0.765
"Australia","Asia/Pacific","AUS","National","AUSt","Total",0.865,0.867,0.869,0.873,0.873,0.882,0.884,0.887,0.891,0.894,0.896,0.900,0.902,0.906,0.908,0.911,0.914,0.915,0.919,0.921,0.923,0.926,0.930,0.929,0.931,0.933,0.935
"Austria","Europe","AUT","National","AUTt","Total",0.825,0.829,0.835,0.840,0.845,0.849,0.853,0.857,0.863,0.866,0.871,0.876,0.879,0.881,0.886,0.889,0.893,0.896,0.898,0.898,0.902,0.905,0.906,0.905,0.909,0.910,0.915
"Azerbaijan","Europe","AZE","National","AZEt","Total",,,,,,0.590,0.590,0.594,0.604,0.615,0.622,0.632,0.642,0.651,0.659,0.672,0.692,0.706,0.716,0.722,0.727,0.729,0.734,0.741,0.745,0.748,0.750
"Bahamas","America","BHS","National","BHSt","Total",,,,,,,,,,,0.799,0.801,0.804,0.805,0.807,0.811,0.813,0.812,0.812,0.810,0.812,0.812,0.815,0.816,0.820,0.820,0.823
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",0.742,0.743,0.749,0.761,0.764,0.772,0.778,0.780,0.785,0.789,0.798,0.804,0.804,0.806,0.804,0.803,0.804,0.807,0.808,0.806,0.808,0.809,0.817,0.824,0.830,0.858,0.865
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",0.397,0.394,0.413,0.420,0.427,0.436,0.441,0.453,0.467,0.481,0.485,0.492,0.499,0.505,0.511,0.518,0.524,0.527,0.530,0.541,0.553,0.561,0.572,0.574,0.583,0.602,0.612
"Barbados","America","BRB","National","BRBt","Total",0.725,0.727,0.727,0.731,0.736,0.739,0.744,0.747,0.748,0.750,0.756,0.756,0.760,0.765,0.770,0.776,0.781,0.786,0.789,0.791,0.788,0.784,0.787,0.787,0.789,0.791,0.794
"Belarus","Europe","BLR","National","BLRt","Total",,,,,,0.679,0.686,0.692,0.697,0.701,0.712,0.716,0.721,0.730,0.742,0.750,0.762,0.773,0.783,0.785,0.790,0.797,0.806,0.808,0.812,0.812,0.813
"Belgium","Europe","BEL","National","BELt","Total",0.816,0.819,0.835,0.850,0.858,0.865,0.871,0.876,0.878,0.882,0.887,0.890,0.892,0.895,0.900,0.902,0.905,0.908,0.908,0.910,0.912,0.914,0.915,0.916,0.921,0.924,0.927
"Belize","America","BLZ","National","BLZt","Total",0.593,0.600,0.608,0.614,0.618,0.620,0.623,0.625,0.626,0.633,0.640,0.643,0.652,0.660,0.667,0.664,0.680,0.685,0.693,0.701,0.707,0.709,0.713,0.712,0.709,0.708,0.712
"Benin","Africa","BEN","National","BENt","Total",0.359,0.364,0.369,0.375,0.380,0.386,0.391,0.397,0.402,0.409,0.416,0.428,0.436,0.443,0.450,0.457,0.464,0.472,0.480,0.486,0.492,0.499,0.509,0.520,0.524,0.529,0.530
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,,,,,0.581,0.591,0.598,0.606,0.617,0.627,0.638
"Bolivia","America","BOL","National","BOLt","Total",0.550,0.560,0.568,0.578,0.587,0.598,0.609,0.620,0.632,0.631,0.632,0.632,0.630,0.627,0.626,0.635,0.638,0.645,0.652,0.658,0.662,0.668,0.674,0.682,0.684,0.690,0.701
"Bosnia and Herz.","Europe","BIH","National","BIHt","Total",,,,,,,,,,,0.667,0.672,0.675,0.683,0.690,0.691,0.699,0.707,0.718,0.721,0.725,0.732,0.745,0.751,0.756,0.761,0.770
"Botswana","Africa","BWA","National","BWAt","Total",0.586,0.588,0.586,0.588,0.578,0.583,0.583,0.586,0.586,0.587,0.585,0.586,0.583,0.590,0.595,0.604,0.618,0.632,0.642,0.647,0.660,0.669,0.674,0.687,0.696,0.702,0.713
"Brazil","America","BRA","National","BRAt","Total",0.610,0.616,0.622,0.630,0.638,0.646,0.653,0.660,0.666,0.671,0.679,0.686,0.692,0.688,0.692,0.698,0.700,0.704,0.715,0.717,0.723,0.728,0.732,0.750,0.754,0.753,0.755
"Brunei","Asia/Pacific","BRN","National","BRNt","Total",0.770,0.775,0.781,0.786,0.790,0.795,0.798,0.799,0.801,0.807,0.808,0.809,0.813,0.818,0.822,0.825,0.828,0.827,0.826,0.828,0.828,0.832,0.838,0.838,0.837,0.836,0.835
"Bulgaria","Europe","BGR","National","BGRt","Total",0.684,0.684,0.686,0.689,0.691,0.700,0.711,0.706,0.716,0.720,0.725,0.734,0.740,0.749,0.756,0.762,0.767,0.774,0.782,0.785,0.790,0.794,0.798,0.805,0.807,0.809,0.809
"Burkina Faso","Africa","BFA","National","BFAt","Total",,,,,,,,,,,0.296,0.299,0.303,0.310,0.320,0.331,0.339,0.334,0.349,0.360,0.372,0.384,0.395,0.402,0.408,0.418,0.427
"Burundi","Africa","BDI","National","BDIt","Total",0.290,0.292,0.289,0.260,0.290,0.286,0.283,0.287,0.294,0.296,0.297,0.299,0.311,0.319,0.330,0.338,0.360,0.372,0.386,0.395,0.405,0.410,0.416,0.421,0.426,0.428,0.430
